Common Name,Scientific.Name
Orange,Citrus sinensis
Banana,Musa paradisiaca
Eggplant,Solanum melongena
Potato,Solanum tuberosum
Red pepper,Capsicum annuum
Cumin,Cuminum cyminum
Poppy,Papaver somniferum
Garlic,Allium sativum
Onion,Allium cepa
Raspberry,Rubus idaeus
Cucumber,Cucumis sativus
Mandarin orange,Citrus reticulata
Ginger,Zingiber officinale
Almond,Prunus dulcis
Coconut,Cocos nucifera
Oats,Avena sativa
Rice,Oryza sativa
Corn,Zea mays
Grapes,Vitis vinifera
Chickpeas,Cicer arietinum
Coffee,Coffea arabica
Lettuce,Lactuca sativa
Black pepper,Piper nigrum
Mint ,Mentha arvensis
Apple,Malus pulima